pid,size,color,brand,rrp,mainCategory,category,subCategory,stock,releaseDate,zae,newSize,age
10759,2XL,blau,Nike,25.33,1,7,21,3,2017-10-01,1,2XL,
11762,2XL,rot,Nike,25.33,1,7,21,3,2017-10-01,1,2XL,
12025,2XL,weiss,Nike,25.33,1,7,21,2,2017-10-01,1,2XL,
12328,2XL,orange,Nike,25.33,1,7,21,1,2017-10-01,1,2XL,
12653,2XL,rot,Nike,25.33,1,7,21,3,2017-10-01,1,2XL,
14510,2XL,gelb,Nike,25.33,1,7,21,4,2017-10-01,1,2XL,
14833,2XL,pink,Nike,25.33,1,7,21,1,2017-10-01,1,2XL,
16349,2XL,gold,Nike,25.33,1,7,21,4,2017-10-01,1,2XL,
17477,2XL,blau,Nike,25.33,1,7,21,1,2017-10-01,1,2XL,
19721,2XL,gruen,Nike,25.33,1,7,21,1,2017-10-01,1,2XL,
21588,2XL,lila,Nike,25.33,1,7,21,1,2017-10-01,1,2XL,
22362,2XL,schwarz,Nike,25.33,1,7,21,3,2017-10-01,1,2XL,
10692,2XL,schwarz,adidas,25.33,1,7,25,1,2017-10-24,1,2XL,
22053,2XL,rot,adidas,25.33,1,7,25,1,2017-10-24,1,2XL,
22080,2XL,weiss,adidas,25.33,1,7,25,1,2017-10-24,1,2XL,
10878,2XL,blau,Nike,25.33,1,7,25,2,2017-10-01,1,2XL,
12999,2XL,gruen,Nike,25.33,1,7,25,2,2017-10-01,1,2XL,
15408,2XL,rot,Nike,25.33,1,7,25,3,2017-10-01,1,2XL,
16750,2XL,weiss,Nike,25.33,1,7,25,2,2017-10-01,1,2XL,
17050,2XL,schwarz,Nike,25.33,1,7,25,6,2017-10-01,1,2XL,
19498,2XL,schwarz,Nike,25.33,1,7,25,1,2017-11-21,1,2XL,
20223,2XL,blau,Nike,25.33,1,7,25,1,2017-10-01,1,2XL,
16160,2XL,schwarz,Uhlsport,27.87,1,7,21,1,2017-10-01,1,2XL,
17100,2XL,schwarz,adidas,29.14,1,7,8,1,2017-10-01,1,2XL,
10645,2XL,weiss,adidas,29.14,1,7,21,32,2017-10-01,1,2XL,
13008,2XL,schwarz,adidas,29.14,1,7,21,2,2017-10-01,1,2XL,
14436,2XL,orange,adidas,29.14,1,7,21,1,2017-10-01,1,2XL,
15944,2XL,rot,adidas,29.14,1,7,21,11,2017-10-01,1,2XL,
16307,2XL,lila,adidas,29.14,1,7,21,1,2017-10-01,1,2XL,
16319,2XL,gruen,adidas,29.14,1,7,21,2,2017-10-01,1,2XL,
16325,2XL,gruen,adidas,29.14,1,7,21,7,2017-10-01,1,2XL,
16423,2XL,weiss,adidas,29.14,1,7,21,2,2017-10-01,1,2XL,
16848,2XL,gruen,adidas,29.14,1,7,21,3,2017-10-01,1,2XL,
17212,2XL,blau,adidas,29.14,1,7,21,2,2017-10-01,1,2XL,
19895,2XL,blau,adidas,29.14,1,7,21,1,2017-10-01,1,2XL,
22530,2XL,blau,adidas,29.14,1,7,21,1,2017-10-01,1,2XL,
22760,2XL,blau,adidas,29.14,1,7,21,2,2017-10-01,1,2XL,
19587,2XL,schwarz,Nike,29.14,1,7,21,1,2017-11-22,1,2XL,
20656,2XL,blau,adidas,29.14,1,7,25,5,2017-10-01,1,2XL,
13151,2XL,weiss,PUMA,29.14,1,7,25,1,2017-10-01,1,2XL,
17736,2XL,schwarz,PUMA,29.14,1,7,25,1,2017-10-01,1,2XL,
17711,2XL,schwarz,adidas,31.68,1,7,8,1,2017-10-01,1,2XL,
14900,2XL,rot,Hummel,31.68,1,7,8,1,2017-10-01,1,2XL,
17718,2XL,schwarz,Jako,31.68,1,7,8,1,2017-10-01,1,2XL,
11260,2XL,schwarz,Nike,31.68,1,7,8,1,2017-10-01,1,2XL,
14011,2XL,schwarz,Nike,31.68,1,7,8,1,2017-10-01,1,2XL,
14663,2XL,schwarz,Nike,31.68,1,7,8,2,2017-10-01,1,2XL,
21743,2XL,blau,Nike,31.68,1,7,8,4,2017-10-01,1,2XL,
22689,2XL,rot,Nike,31.68,1,7,8,1,2017-10-01,1,2XL,
22736,2XL,weiss,Nike,31.68,1,7,8,1,2017-10-01,1,2XL,
16346,2XL,schwarz,PUMA,31.68,1,7,8,1,2017-10-01,1,2XL,
17214,2XL,blau,PUMA,31.68,1,7,16,1,2017-10-01,1,2XL,
21372,2XL,schwarz,PUMA,31.68,1,7,16,6,2017-10-01,1,2XL,
10365,2XL,blau,adidas,31.68,1,7,21,1,2017-10-01,1,2XL,
20686,2XL,blau,adidas,31.68,1,7,21,1,2017-10-01,1,2XL,
21734,2XL,schwarz,adidas,31.68,1,7,21,1,2017-10-01,1,2XL,
11037,2XL,schwarz,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
11572,2XL,rot,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
11874,2XL,blau,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
12659,2XL,gold,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
13301,2XL,blau,Nike,31.68,1,7,21,3,2017-10-01,1,2XL,
13721,2XL,grau,Nike,31.68,1,7,21,2,2017-10-01,1,2XL,
14582,2XL,weiss,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
15434,2XL,rot,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
16051,2XL,schwarz,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
16396,2XL,blau,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
16853,2XL,weiss,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
17907,2XL,weiss,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
17933,2XL,weiss,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
20685,2XL,gelb,Nike,31.68,1,7,21,1,2017-10-01,1,2XL,
10619,2XL,schwarz,Nike,31.68,1,7,25,8,2017-10-01,1,2XL,
15390,2XL,schwarz,Nike,31.68,1,7,25,1,2017-10-01,1,2XL,
16735,2XL,weiss,Nike,31.68,1,7,25,1,2017-10-01,1,2XL,
17302,2XL,blau,Nike,31.68,1,7,25,2,2017-10-01,1,2XL,
17359,2XL,blau,Nike,31.68,1,7,25,2,2017-10-01,1,2XL,
18228,2XL,weiss,Nike,31.68,1,7,25,2,2017-10-01,1,2XL,
19527,2XL,blau,PUMA,31.68,1,7,25,1,2017-10-01,1,2XL,
22416,2XL,schwarz,PUMA,31.68,1,7,25,1,2017-10-01,1,2XL,
11426,2XL,blau,adidas,31.68,15,16,,2,2017-10-01,1,2XL,
14501,2XL,rot,adidas,31.68,15,16,,4,2017-10-01,1,2XL,
16462,2XL,blau,adidas,31.68,15,16,,4,2017-10-01,1,2XL,
17173,2XL,schwarz,adidas,31.68,15,16,,1,2017-10-01,1,2XL,
21227,2XL,weiss,adidas,31.68,15,16,,4,2017-10-01,1,2XL,
20912,2XL,gruen,Jako,31.68,15,16,,1,2017-10-01,1,2XL,
15705,2XL,schwarz,Nike,31.68,15,16,,2,2018-01-18,1,2XL,
17373,2XL,grau,Nike,31.68,15,16,,1,2017-10-01,1,2XL,
18143,2XL,blau,Nike,31.68,15,16,,1,2017-10-01,1,2XL,
18453,2XL,schwarz,Nike,31.68,15,16,,1,2017-10-01,1,2XL,
21594,2XL,orange,PUMA,31.68,15,16,,1,2017-10-01,1,2XL,
11706,2XL,schwarz,Jako,35.49,1,7,16,1,2017-10-01,1,2XL,
17985,2XL,schwarz,Jako,35.49,1,7,16,1,2017-10-01,1,2XL,
21263,2XL,blau,adidas,35.49,1,7,22,1,2017-10-24,1,2XL,
17456,2XL,blau,adidas,35.49,1,7,23,1,2017-11-08,1,2XL,
17654,2XL,blau,adidas,38.03,1,7,8,14,2017-10-01,1,2XL,
18009,2XL,blau,adidas,38.03,1,7,8,1,2017-10-01,1,2XL,
10102,2XL,blau,Nike,38.03,1,7,8,2,2017-10-01,1,2XL,
13642,2XL,gelb,Nike,38.03,1,7,8,1,2017-10-01,1,2XL,
18609,2XL,pink,Nike,38.03,1,7,8,2,2017-10-01,1,2XL,
21465,2XL,blau,Nike,38.03,1,7,8,2,2017-10-01,1,2XL,
21761,2XL,schwarz,Nike,38.03,1,7,8,2,2017-10-01,1,2XL,
12489,2XL,blau,adidas,38.03,1,7,16,2,2017-10-01,1,2XL,
14328,2XL,schwarz,adidas,38.03,1,7,16,5,2017-10-21,1,2XL,
11317,2XL,blau,Nike,38.03,1,7,16,4,2017-10-01,1,2XL,
14431,2XL,schwarz,Nike,38.03,1,7,16,2,2017-11-20,1,2XL,
16221,2XL,schwarz,Nike,38.03,1,7,16,6,2017-10-01,1,2XL,
20579,2XL,schwarz,Nike,38.03,1,7,16,1,2017-10-01,1,2XL,
14514,2XL,schwarz,adidas,38.03,1,7,17,1,2017-10-01,1,2XL,
15238,2XL,schwarz,Jako,38.03,1,7,17,1,2017-10-01,1,2XL,
12269,2XL,blau,adidas,38.03,1,7,21,1,2017-10-01,1,2XL,
13729,2XL,rot,adidas,38.03,1,7,21,1,2017-10-01,1,2XL,
19594,2XL,schwarz,adidas,38.03,1,7,21,1,2017-10-01,1,2XL,
11629,2XL,blau,Nike,38.03,1,7,21,1,2017-10-01,1,2XL,
18375,2XL,schwarz,Nike,38.03,1,7,21,1,2017-10-01,1,2XL,
19456,2XL,gelb,Nike,38.03,1,7,21,1,2017-10-01,1,2XL,
19885,2XL,blau,Nike,38.03,1,7,21,1,2017-10-01,1,2XL,
17522,2XL,gruen,Nike,38.03,1,7,22,1,2017-11-23,1,2XL,
16707,2XL,blau,Erima,38.03,1,7,23,12,2017-10-01,1,2XL,
14430,2XL,rot,adidas,38.03,1,7,25,1,2017-10-01,1,2XL,
20714,2XL,blau,adidas,38.03,1,7,25,3,2017-10-01,1,2XL,
20998,2XL,grau,adidas,38.03,1,7,25,1,2017-10-01,1,2XL,
11187,2XL,schwarz,Nike,38.03,1,7,25,1,2017-10-01,1,2XL,
16842,2XL,blau,Nike,38.03,1,7,25,1,2017-10-01,1,2XL,
10981,2XL,schwarz,adidas,38.03,15,16,,3,2017-11-16,1,2XL,
11475,2XL,rot,adidas,38.03,15,16,,1,2017-10-01,1,2XL,
12376,2XL,blau,adidas,38.03,15,16,,1,2017-11-16,1,2XL,
12032,2XL,schwarz,Nike,38.03,15,16,,1,2017-10-01,1,2XL,
15173,2XL,gruen,Nike,38.03,15,16,,1,2017-10-01,1,2XL,
17884,2XL,weiss,Nike,38.03,15,16,,1,2017-10-01,1,2XL,
20529,2XL,grau,Nike,38.03,15,16,,6,2017-10-01,1,2XL,
11418,2XL,blau,adidas,38.03,15,24,,2,2017-10-01,1,2XL,
11935,2XL,weiss,adidas,38.03,15,24,,4,2017-10-01,1,2XL,
14245,2XL,schwarz,adidas,38.03,15,24,,1,2017-11-21,1,2XL,
18110,2XL,rot,adidas,38.03,15,24,,1,2017-10-01,1,2XL,
21477,2XL,schwarz,adidas,38.03,15,24,,4,2017-10-01,1,2XL,
10616,2XL,weiss,Nike,38.03,15,24,,1,2017-10-01,1,2XL,
13242,2XL,rot,Nike,38.03,15,24,,1,2017-10-01,1,2XL,
13342,2XL,grau,Nike,38.03,15,24,,1,2017-10-01,1,2XL,
13532,2XL,blau,Nike,38.03,15,24,,1,2017-10-01,1,2XL,
19264,2XL,weiss,Nike,38.03,15,24,,1,2017-10-01,1,2XL,
21539,2XL,schwarz,Nike,38.03,15,24,,13,2017-10-01,1,2XL,
15497,2XL,weiss,PUMA,38.03,15,24,,1,2017-10-01,1,2XL,
18232,2XL,schwarz,Jako,38.03,15,33,,2,2017-10-01,1,2XL,
21918,2XL,schwarz,adidas,44.38,1,7,8,1,2017-10-01,1,2XL,
14102,2XL,blau,adidas,44.38,1,7,14,1,2017-11-08,1,2XL,
10953,2XL,grau,adidas,44.38,1,7,16,1,2017-10-01,1,2XL,
12896,2XL,blau,adidas,44.38,1,7,16,2,2017-10-01,1,2XL,
20505,2XL,schwarz,adidas,44.38,1,7,16,2,2017-10-01,1,2XL,
22700,2XL,schwarz,adidas,44.38,1,7,16,2,2017-10-01,1,2XL,
19970,2XL,schwarz,Uhlsport,44.38,1,7,16,1,2017-10-01,1,2XL,
11607,2XL,schwarz,adidas,44.38,1,7,17,1,2017-10-01,1,2XL,
13079,2XL,schwarz,adidas,44.38,1,7,17,1,2017-10-01,1,2XL,
20450,2XL,schwarz,Jako,44.38,1,7,17,1,2017-10-01,1,2XL,
10309,2XL,gruen,Nike,44.38,1,7,21,1,2017-10-01,1,2XL,
13381,2XL,gelb,Nike,44.38,1,7,21,3,2017-10-01,1,2XL,
14586,2XL,weiss,Nike,44.38,1,7,21,1,2017-10-01,1,2XL,
22607,2XL,gelb,Nike,44.38,1,7,21,2,2017-10-01,1,2XL,
11241,2XL,schwarz,adidas,44.38,1,7,23,2,2017-10-01,1,2XL,
11420,2XL,rot,adidas,44.38,1,7,23,1,2017-10-01,1,2XL,
13401,2XL,blau,adidas,44.38,1,7,23,1,2017-10-01,1,2XL,
13800,2XL,weiss,adidas,44.38,1,7,23,6,2017-10-01,1,2XL,
14860,2XL,rot,adidas,44.38,1,7,23,2,2017-10-01,1,2XL,
15158,2XL,schwarz,adidas,44.38,1,7,23,1,2017-10-01,1,2XL,
17009,2XL,gruen,adidas,44.38,1,7,23,1,2017-10-01,1,2XL,
20288,2XL,blau,adidas,44.38,1,7,23,2,2017-10-01,1,2XL,
20386,2XL,rot,adidas,44.38,1,7,23,1,2017-10-01,1,2XL,
20554,2XL,blau,Erima,44.38,1,7,23,7,2017-10-01,1,2XL,
10222,2XL,schwarz,Nike,44.38,1,7,23,2,2017-11-22,1,2XL,
10463,2XL,blau,Nike,44.38,1,7,23,5,2017-10-01,1,2XL,
10707,2XL,rot,Nike,44.38,1,7,23,1,2017-10-01,1,2XL,
14083,2XL,weiss,Nike,44.38,1,7,23,1,2017-10-01,1,2XL,
14793,2XL,schwarz,Nike,44.38,1,7,23,1,2017-10-01,1,2XL,
22458,2XL,blau,Nike,44.38,1,7,23,1,2017-10-01,1,2XL,
22532,2XL,grau,Nike,44.38,1,7,23,4,2017-10-01,1,2XL,
15864,2XL,blau,adidas,44.38,1,7,28,1,2017-10-01,1,2XL,
16519,2XL,schwarz,adidas,44.38,1,7,28,1,2017-10-01,1,2XL,
16630,2XL,orange,adidas,44.38,1,7,28,1,2017-10-01,1,2XL,
11604,2XL,schwarz,adidas,44.38,15,16,,1,2017-10-01,1,2XL,
10467,2XL,blau,Nike,44.38,15,16,,1,2017-10-01,1,2XL,
15845,2XL,schwarz,Nike,44.38,15,16,,1,2017-10-01,1,2XL,
16309,2XL,grau,Nike,44.38,15,16,,3,2017-10-01,1,2XL,
22158,2XL,weiss,Nike,44.38,15,16,,2,2017-10-01,1,2XL,
22338,2XL,schwarz,Nike,44.38,15,16,,2,2017-10-01,1,2XL,
13931,2XL,schwarz,PUMA,44.38,15,16,,1,2017-10-01,1,2XL,
11025,2XL,weiss,adidas,44.38,15,33,,1,2017-10-01,1,2XL,
11172,2XL,schwarz,adidas,44.38,15,33,,3,2017-11-17,1,2XL,
11956,2XL,blau,adidas,44.38,15,33,,1,2017-10-01,1,2XL,
12901,2XL,blau,adidas,44.38,15,33,,1,2017-11-17,1,2XL,
15379,2XL,schwarz,adidas,44.38,15,33,,1,2017-10-01,1,2XL,
16504,2XL,blau,adidas,44.38,15,33,,1,2017-11-17,1,2XL,
17588,2XL,rot,adidas,44.38,15,33,,1,2017-11-17,1,2XL,
19162,2XL,weiss,adidas,44.38,15,33,,3,2017-11-17,1,2XL,
19235,2XL,rot,adidas,44.38,15,33,,1,2017-10-01,1,2XL,
19354,2XL,blau,adidas,44.38,15,33,,2,2017-10-01,1,2XL,
22515,2XL,gruen,Jako,44.38,15,33,,1,2017-10-01,1,2XL,
10849,2XL,rot,Nike,44.38,15,33,,4,2017-10-01,1,2XL,
11101,2XL,grau,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
11250,2XL,rot,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
11614,2XL,gruen,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
11733,2XL,weiss,Nike,44.38,15,33,,6,2017-10-01,1,2XL,
13821,2XL,weiss,Nike,44.38,15,33,,2,2017-10-01,1,2XL,
14028,2XL,blau,Nike,44.38,15,33,,3,2017-10-01,1,2XL,
15050,2XL,blau,Nike,44.38,15,33,,4,2017-10-01,1,2XL,
15292,2XL,blau,Nike,44.38,15,33,,5,2017-10-01,1,2XL,
15399,2XL,blau,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
15726,2XL,orange,Nike,44.38,15,33,,1,2017-12-05,1,2XL,
15984,2XL,weiss,Nike,44.38,15,33,,2,2017-12-05,1,2XL,
16125,2XL,schwarz,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
16473,2XL,grau,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
16993,2XL,schwarz,Nike,44.38,15,33,,12,2017-12-05,1,2XL,
17932,2XL,weiss,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
18391,2XL,rot,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
18466,2XL,rot,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
18542,2XL,blau,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
20025,2XL,blau,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
22021,2XL,blau,Nike,44.38,15,33,,1,2017-10-01,1,2XL,
12236,2XL,schwarz,PUMA,44.38,15,33,,1,2017-10-01,1,2XL,
19537,2XL,lila,PUMA,44.38,15,33,,2,2017-10-01,1,2XL,
12985,2XL,schwarz,adidas,48.19,1,7,16,3,2017-10-01,1,2XL,
17690,2XL,blau,adidas,48.19,1,7,16,1,2017-10-01,1,2XL,
16976,2XL,schwarz,Jako,48.19,1,7,16,1,2017-10-01,1,2XL,
11539,2XL,schwarz,Jako,48.19,1,7,20,1,2017-10-01,1,2XL,
20122,2XL,grau,PUMA,48.19,1,7,23,1,2017-10-01,1,2XL,
10730,2XL,grau,adidas,50.73,1,7,14,2,2017-10-27,1,2XL,
19591,2XL,schwarz,adidas,50.73,1,7,14,4,2017-10-27,1,2XL,
13404,2XL,blau,Nike,50.73,1,7,14,1,2017-10-01,1,2XL,
15608,2XL,schwarz,Nike,50.73,1,7,14,2,2017-10-01,1,2XL,
18105,2XL,schwarz,Nike,50.73,1,7,14,11,2017-10-01,1,2XL,
18395,2XL,blau,Nike,50.73,1,7,14,2,2017-10-01,1,2XL,
18785,2XL,blau,Nike,50.73,1,7,14,12,2017-10-01,1,2XL,
22456,2XL,rot,Nike,50.73,1,7,14,3,2017-10-01,1,2XL,
11433,2XL,schwarz,PUMA,50.73,1,7,14,9,2017-10-01,1,2XL,
15605,2XL,rot,PUMA,50.73,1,7,14,1,2017-10-01,1,2XL,
15951,2XL,blau,PUMA,50.73,1,7,14,1,2017-10-01,1,2XL,
19964,2XL,blau,PUMA,50.73,1,7,14,1,2017-10-01,1,2XL,
21802,2XL,blau,PUMA,50.73,1,7,14,3,2017-10-01,1,2XL,
16597,2XL,blau,adidas,50.73,1,7,16,8,2017-10-01,1,2XL,
16604,2XL,grau,adidas,50.73,1,7,16,1,2017-10-24,1,2XL,
17321,2XL,schwarz,adidas,50.73,1,7,16,3,2017-10-27,1,2XL,
18184,2XL,schwarz,adidas,50.73,1,7,16,1,2017-10-01,1,2XL,
18560,2XL,blau,adidas,50.73,1,7,16,1,2017-10-01,1,2XL,
19760,2XL,schwarz,adidas,50.73,1,7,16,7,2017-10-01,1,2XL,
11809,2XL,blau,Nike,50.73,1,7,16,1,2017-10-01,1,2XL,
13868,2XL,blau,Nike,50.73,1,7,16,3,2017-10-01,1,2XL,
15813,2XL,schwarz,Nike,50.73,1,7,16,5,2017-10-01,1,2XL,
16354,2XL,rot,Nike,50.73,1,7,16,2,2017-10-01,1,2XL,
19129,2XL,blau,Nike,50.73,1,7,16,1,2017-10-01,1,2XL,
19199,2XL,schwarz,Nike,50.73,1,7,16,3,2017-10-01,1,2XL,
19288,2XL,schwarz,Nike,50.73,1,7,16,2,2017-10-01,1,2XL,
